season,team_id,team_name,womens_team_tourney_flag
2013,2448,NC A&T,
2013,152,NC State,
2013,167,New Mexico,
2013,166,New Mexico St,
2013,153,North Carolina,1
2013,87,Notre Dame,1
2013,2466,N'Western St,
2013,194,Ohio State,
2013,201,Oklahoma,1
2013,197,Oklahoma St,1
2013,145,Ole Miss,
2013,2483,Oregon,
2013,279,Pacific,
2013,221,Pitt,
2013,2571,S Dakota St,1
2013,139,Saint Louis,
2013,2608,Saint Mary's,
2013,21,San Diego St,
2013,2582,Southern,
2013,183,Syracuse,1
2013,218,Temple,
2013,26,UCLA,1
2013,2439,UNLV,
2013,2674,Valparaiso,
2013,2670,VCU,
2013,222,Villanova,1
2013,98,Western KY,
2013,2724,Wichita St,1
2013,275,Wisconsin,
2014,167,New Mexico,
2014,166,New Mexico St,
2014,153,North Carolina,1
2014,194,Ohio State,
2014,201,Oklahoma,1
2014,197,Oklahoma St,1
2014,2483,Oregon,
2014,221,Pitt,
2014,2507,Providence,
2014,2603,Saint Joseph's,1
2014,139,Saint Louis,
2014,21,San Diego St,
2014,2617,SF Austin,
2014,24,Stanford,1
2014,183,Syracuse,1
2014,2633,Tennessee,1
2014,251,Texas,1
2014,2640,Texas Southern,
2014,202,Tulsa,
2014,26,UCLA,
2014,41,UConn,1
2014,113,UMass,
2014,2670,VCU,
2014,222,Villanova,
2014,258,Virginia,
2014,2711,W Michigan,
2014,2692,Weber St,
2014,2724,Wichita St,1
2014,275,Wisconsin,
2014,2747,Wofford,
2014,2752,Xavier,
2015,111,Northeastern,
2015,2460,Northern Iowa,
2015,87,Notre Dame,1
2015,194,Ohio State,1
2015,201,Oklahoma,1
2015,197,Oklahoma St,1
2015,145,Ole Miss,
2015,2483,Oregon,
2015,2507,Providence,
2015,2509,Purdue,
2015,2523,Robert Morris,
2015,21,San Diego St,
2015,2617,SF Austin,
2015,2567,SMU,
2015,2599,St John's,
2015,251,Texas,1
2015,2640,Texas Southern,
2015,5,UAB,
2015,300,UC Irvine,
2015,26,UCLA,
2015,254,Utah,
2015,2674,Valparaiso,
2015,2670,VCU,
2015,222,Villanova,
2015,258,Virginia,
2015,277,West Virginia,
2015,2724,Wichita St,1
2015,275,Wisconsin,
2015,2747,Wofford,
2015,2751,Wyoming,
2015,2752,Xavier,
2016,204,Oregon St,1
2016,221,Pitt,
2016,2507,Providence,
2016,2509,Purdue,1
2016,2571,S Dakota St,1
2016,2603,Saint Joseph's,
2016,2550,Seton Hall,1
2016,2617,SF Austin,
2016,2582,Southern,
2016,2619,Stony Brook,
2016,183,Syracuse,1
2016,218,Temple,
2016,251,Texas,1
2016,245,Texas A&M,1
2016,2641,Texas Tech,
2016,202,Tulsa,
2016,41,UConn,1
2016,2427,UNC Asheville,1
2016,350,UNC Wilmington,
2016,30,USC,
2016,254,Utah,
2016,238,Vanderbilt,
2016,2670,VCU,
2016,222,Villanova,
2016,258,Virginia,
2016,2692,Weber St,
2016,277,West Virginia,1
2016,2724,Wichita St,
2016,275,Wisconsin,
2016,2752,Xavier,
2016,43,Yale,
2017,153,North Carolina,
2017,155,North Dakota,
2017,77,Northwestern,
2017,87,Notre Dame,1
2017,197,Oklahoma St,
2017,2483,Oregon,1
2017,163,Princeton,
2017,2507,Providence,
2017,2509,Purdue,1
2017,227,Rhode Island,
2017,2571,S Dakota St,
2017,2608,Saint Mary's,
2017,2550,Seton Hall,
2017,2567,SMU,
2017,2579,South Carolina,1
2017,2640,Texas Southern,1
2017,2653,Troy,1
2017,302,UC Davis,
2017,26,UCLA,1
2017,350,UNC Wilmington,
2017,30,USC,
2017,238,Vanderbilt,
2017,2670,VCU,
2017,261,Vermont,
2017,222,Villanova,
2017,258,Virginia,
2017,259,Virginia Tech,
2017,277,West Virginia,1
2017,2724,Wichita St,
2017,2737,Winthrop,
2017,275,Wisconsin,
2017,2752,Xavier,
2018,166,New Mexico St,
2018,153,North Carolina,
2018,194,Ohio State,1
2018,201,Oklahoma,1
2018,219,Penn,
2018,2507,Providence,
2018,2509,Purdue,
2018,2515,Radford,
2018,227,Rhode Island,
2018,2571,S Dakota St,1
2018,21,San Diego St,
2018,2550,Seton Hall,
2018,2617,SF Austin,
2018,179,St Bonaventure,
2018,183,Syracuse,1
2018,2628,TCU,
2018,2633,Tennessee,1
2018,251,Texas,1
2018,245,Texas A&M,1
2018,2640,Texas Southern,
2018,2641,Texas Tech,
2018,26,UCLA,1
2018,2378,UMBC,
2018,2430,UNC Greensboro,
2018,222,Villanova,1
2018,258,Virginia,1
2018,259,Virginia Tech,
2018,277,West Virginia,
2018,2724,Wichita St,
2018,2750,Wright St,
2018,2752,Xavier,
2019,2440,Nevada,
2019,166,New Mexico St,1
2019,153,North Carolina,1
2019,111,Northeastern,
2019,194,Ohio State,
2019,201,Oklahoma,
2019,295,Old Dominion,
2019,145,Ole Miss,
2019,2483,Oregon,1
2019,2504,Prairie View,
2019,2509,Purdue,
2019,139,Saint Louis,
2019,2608,Saint Mary's,
2019,2550,Seton Hall,
2019,2599,St John's,
2019,183,Syracuse,1
2019,218,Temple,
2019,2633,Tennessee,1
2019,2641,Texas Tech,
2019,300,UC Irvine,
2019,2116,UCF,1
2019,328,Utah State,
2019,2670,VCU,
2019,261,Vermont,
2019,222,Villanova,
2019,258,Virginia,
2019,259,Virginia Tech,
2019,264,Washington,
2019,275,Wisconsin,
2019,2747,Wofford,
2019,43,Yale,
2021,153,North Carolina,1
2021,249,North Texas,
2021,195,Ohio,
2021,194,Ohio State,
2021,201,Oklahoma,
2021,197,Oklahoma St,1
2021,198,Oral Roberts,
2021,2483,Oregon,1
2021,204,Oregon St,1
2021,2509,Purdue,
2021,164,Rutgers,1
2021,21,San Diego St,
2021,179,St Bonaventure,
2021,183,Syracuse,1
2021,2633,Tennessee,1
2021,251,Texas,1
2021,2640,Texas Southern,
2021,2641,Texas Tech,
2021,26,UCLA,1
2021,41,UConn,1
2021,2540,UCSB,
2021,2430,UNC Greensboro,
2021,30,USC,
2021,328,Utah State,
2021,222,Villanova,
2021,258,Virginia,
2021,259,Virginia Tech,1
2021,277,West Virginia,1
2021,2724,Wichita St,
2021,2737,Winthrop,
2021,275,Wisconsin,
2022,2450,Norfolk St,
2022,153,North Carolina,1
2022,87,Notre Dame,1
2022,194,Ohio State,1
2022,2507,Providence,
2022,2509,Purdue,
2022,257,Richmond,
2022,164,Rutgers,
2022,2571,S Dakota St,
2022,2608,Saint Mary's,
2022,2612,Saint Peter's,
2022,21,San Diego St,
2022,2539,San Francisco,
2022,2550,Seton Hall,
2022,2628,TCU,
2022,2633,Tennessee,1
2022,251,Texas,1
2022,357,Texas A&M-CC,
2022,2640,Texas Southern,
2022,2641,Texas Tech,
2022,5,UAB,
2022,26,UCLA,
2022,41,UConn,1
2022,30,USC,
2022,261,Vermont,
2022,222,Villanova,1
2022,259,Virginia Tech,1
2022,275,Wisconsin,
2022,2750,Wright St,
2022,2751,Wyoming,
2022,43,Yale,
2023,147,Montana St,
2023,94,N Kentucky,
2023,152,NC State,1
2023,2440,Nevada,
2023,77,Northwestern,
2023,198,Oral Roberts,
2023,213,Penn State,
2023,221,Pitt,
2023,163,Princeton,1
2023,2507,Providence,
2023,2509,Purdue,1
2023,2608,Saint Mary's,
2023,21,San Diego St,
2023,2540,Santa Barbara,
2023,2546,SE Missouri,
2023,2628,TCU,
2023,2633,Tennessee,1
2023,251,Texas,1
2023,245,Texas A&M,
2023,357,Texas A&M-CC,
2023,2640,Texas Southern,
2023,26,UCLA,1
2023,41,UConn,1
2023,2427,UNC Asheville,
2023,30,USC,1
2023,328,Utah State,
2023,2670,VCU,
2023,261,Vermont,1
2023,258,Virginia,
2023,277,West Virginia,1
2023,2752,Xavier,
2024,152,NC State,1
2024,158,Nebraska,1
2024,2440,Nevada,
2024,167,New Mexico,
2024,153,North Carolina,1
2024,77,Northwestern,
2024,2473,Oakland,
2024,2483,Oregon,
2024,2509,Purdue,
2024,2571,S Dakota St,1
2024,2608,Saint Mary's,
2024,2612,Saint Peter's,
2024,2535,Samford,
2024,21,San Diego St,
2024,2579,South Carolina,1
2024,56,Stetson,
2024,2628,TCU,
2024,2633,Tennessee,1
2024,251,Texas,1
2024,245,Texas A&M,1
2024,2641,Texas Tech,
2024,5,UAB,
2024,41,UConn,1
2024,328,Utah State,
2024,261,Vermont,
2024,258,Virginia,
2024,2681,Wagner,
2024,265,Washington St,
2024,98,Western KY,
2024,275,Wisconsin,
2024,43,Yale,
2025,149,Montana,
2025,116,Mount St Marys,
2025,167,New Mexico,
2025,2450,Norfolk St,1
2025,153,North Carolina,1
2025,201,Oklahoma,1
2025,145,Ole Miss,1
2025,2437,Omaha,
2025,2483,Oregon,1
2025,2509,Purdue,
2025,2523,Robert Morris,
2025,2598,Saint Francis,
2025,2608,Saint Mary's,
2025,21,San Diego St,1
2025,2565,SIUE,
2025,2599,St John's,
2025,2633,Tennessee,1
2025,251,Texas,1
