"","season","team_id","team_name"
"535",2023,150,"Duke"
"536",2023,2294,"Iowa"
"537",2023,8,"Arkansas"
"538",2023,12,"Arizona"
"539",2023,258,"Virginia"
"540",2023,120,"Maryland"
"541",2023,9,"Arizona St"
"542",2023,2640,"Texas Southern"
"543",2023,344,"Mississippi St"
"544",2023,357,"Texas A&M-CC"
"545",2024,41,"UConn"
"546",2024,2509,"Purdue"
"547",2024,150,"Duke"
"548",2024,333,"Alabama"
"549",2024,2633,"Tennessee"
"550",2024,248,"Houston"
"551",2024,269,"Marquette"
"552",2024,66,"Iowa State"
"553",2024,153,"North Carolina"
"554",2024,12,"Arizona"
"555",2024,21,"San Diego St"
"556",2024,239,"Baylor"
"557",2024,156,"Creighton"
"558",2024,356,"Illinois"
"559",2024,152,"NC State"
"560",2024,2305,"Kansas"
"561",2024,2608,"Saint Mary's"
"562",2024,328,"Utah State"
"563",2024,275,"Wisconsin"
"564",2024,158,"Nebraska"
"565",2024,57,"Florida"
"566",2024,2,"Auburn"
"567",2024,228,"Clemson"
"568",2024,2226,"FAU"
"569",2024,265,"Washington St"
"570",2024,2641,"Texas Tech"
"571",2024,2250,"Gonzaga"
"572",2024,96,"Kentucky"
"573",2024,251,"Texas"
"574",2024,2168,"Dayton"
"575",2024,2579,"South Carolina"
"576",2024,252,"BYU"
"577",2024,344,"Mississippi St"
"578",2024,68,"Boise St"
"579",2024,147,"Montana St"
"580",2024,258,"Virginia"
"581",2024,47,"Howard"
"582",2025,248,"Houston"
"583",2025,150,"Duke"
"584",2025,2,"Auburn"
"585",2025,57,"Florida"
"586",2025,2633,"Tennessee"
"587",2025,127,"Michigan St"
"588",2025,2641,"Texas Tech"
"589",2025,333,"Alabama"
"590",2025,12,"Arizona"
"591",2025,66,"Iowa State"
"592",2025,120,"Maryland"
"593",2025,96,"Kentucky"
"594",2025,275,"Wisconsin"
"595",2025,245,"Texas A&M"
"596",2025,2599,"St John's"
"597",2025,2509,"Purdue"
"598",2025,2483,"Oregon"
"599",2025,356,"Illinois"
"600",2025,41,"UConn"
"601",2025,269,"Marquette"
"602",2025,145,"Ole Miss"
"603",2025,2608,"Saint Mary's"
"604",2025,235,"Memphis"
"605",2025,344,"Mississippi St"
"606",2025,130,"Michigan"
"607",2025,26,"UCLA"
"608",2025,142,"Missouri"
"609",2025,2305,"Kansas"
"610",2025,2250,"Gonzaga"
"611",2025,252,"BYU"
"612",2025,228,"Clemson"
"613",2025,97,"Louisville"
"614",2025,251,"Texas"
"615",2025,44,"American"
"616",2025,21,"San Diego St"
"617",2025,2011,"Alabama St"
"618",2026,-1,"TBD"
"619",2026,2390,"Miami"
"620",2026,41,"UConn"
"621",2026,2305,"Kansas"
"622",2026,57,"Florida"
"623",2026,2509,"Purdue"
"624",2026,26,"UCLA"
"625",2026,2599,"St John's"
"626",2026,228,"Clemson"
"627",2026,2633,"Tennessee"
"628",2026,222,"Villanova"
"629",2026,333,"Alabama"
"630",2026,66,"Iowa State"
"631",2026,258,"Virginia"
"632",2026,12,"Arizona"
"633",2026,2641,"Texas Tech"
"634",2026,96,"Kentucky"
"635",2026,248,"Houston"
"636",2026,2250,"Gonzaga"
"637",2026,61,"Georgia"
"638",2026,356,"Illinois"
"639",2026,2608,"Saint Mary's"
"640",2026,252,"BYU"
"641",2026,130,"Michigan"
"642",2026,153,"North Carolina"
"643",2026,8,"Arkansas"
"644",2026,127,"Michigan St"
"645",2026,238,"Vanderbilt"
"646",2026,150,"Duke"
"647",2026,275,"Wisconsin"
"648",2026,97,"Louisville"
"649",2026,158,"Nebraska"
"650",2026,194,"Ohio State"
"651",2026,2567,"SMU"
"652",2026,2329,"Lehigh"
"653",2026,152,"NC State"
"654",2026,47,"Howard"
"655",2008,2166,"Davidson"
"656",2008,8,"Arkansas"
"657",2008,301,"San Diego"
"658",2008,2561,"Siena"
"659",2008,245,"Texas A&M"
"660",2008,2306,"Kansas St"
"661",2008,250,"UT Arlington"
"662",2008,68,"Boise St"
"663",2008,2483,"Oregon"
"664",2008,116,"Mount St Mary"
"665",2008,2603,"Saint Joseph's"
"666",2008,2046,"Austin Peay"
"667",2008,2378,"UMBC"
"668",2008,6,"South Alabama"
"669",2008,2608,"Saint Mary's"
"670",2008,44,"American"
"671",2008,2400,"Miss Valley St"
"672",2008,2239,"Fullerton"
"673",2008,12,"Arizona"
"674",2008,2244,"George Mason"
"675",2008,2737,"Winthrop"
"676",2008,2057,"Belmont"
"677",2008,172,"Cornell"
"678",2008,239,"Baylor"
"679",2008,198,"Oral Roberts"
"680",2008,2309,"Kent State"
"681",2008,96,"Kentucky"
"682",2008,218,"Temple"
"683",2008,2502,"Portland St"
"684",2008,61,"Georgia"
"685",2009,2561,"Siena"
"686",2009,30,"USC"
"687",2009,325,"Cleveland St"
"688",2009,2168,"Dayton"
"689",2009,275,"Wisconsin"
"690",2009,98,"Western KY"
"691",2009,130,"Michigan"
"692",2009,245,"Texas A&M"
"693",2009,120,"Maryland"
"694",2009,2523,"Robert Morris"
"695",2009,2502,"Portland St"
"696",2009,2413,"Morehead St"
"697",2009,172,"Cornell"
"698",2009,2193,"ETSU"
"699",2009,218,"Temple"
"700",2009,2449,"N Dakota St"
"701",2009,328,"Utah State"
"702",2009,2633,"Tennessee"
"703",2009,2617,"SF Austin"
"704",2009,2670,"VCU"
"705",2009,2415,"Morgan St"
"706",2009,2066,"Binghamton"
"707",2009,2006,"Akron"
"708",2009,44,"American"
"709",2009,135,"Minnesota"
"710",2009,344,"Mississippi St"
"711",2009,2515,"Radford"
"712",2009,236,"Chattanooga"
"713",2009,2460,"Northern Iowa"
"714",2009,2463,"CSU Northridge"
"715",2009,2086,"Butler"
"716",2010,2460,"Northern Iowa"
"717",2010,2608,"Saint Mary's"
